Frame Number,Face Number,Prediction,Score
00:00,face11,focused,0.6113
00:00,face10,focused,0.701
00:00,face12,focused,0.7776
00:00,face8,not_focused,0.329
00:00,face9,not_focused,0.4033
00:00,face1,focused,0.7017
00:00,face2,not_focused,0.2258
00:00,face3,not_focused,0.4583
00:00,face7,not_focused,0.0619
00:00,face6,not_focused,0.2134
00:00,face4,not_focused,0.2173
00:00,face5,not_focused,0.2765
00:38,face11,focused,0.8238
00:38,face10,not_focused,0.498
00:38,face8,not_focused,0.2445
00:38,face9,focused,0.6923
00:38,face1,not_focused,0.4642
00:38,face2,not_focused,0.0567
00:38,face3,focused,0.7622
00:38,face7,not_focused,0.4922
00:38,face6,not_focused,0.3584
00:38,face4,focused,0.511
00:38,face5,not_focused,0.0691
01:37,face11,not_focused,0.2683
01:37,face10,not_focused,0.498
01:37,face8,focused,0.7996
01:37,face9,not_focused,0.3104
01:37,face1,not_focused,0.1661
01:37,face2,not_focused,0.018
01:37,face3,focused,0.6637
01:37,face7,not_focused,0.4517
01:37,face6,not_focused,0.1262
01:37,face4,focused,0.5796
01:37,face5,focused,0.68
02:16,face10,not_focused,0.1814
02:16,face8,not_focused,0.4058
02:16,face9,focused,0.7028
02:16,face1,not_focused,0.0936
02:16,face2,not_focused,0.2697
02:16,face3,focused,0.6605
02:16,face7,not_focused,0.2748
02:16,face6,not_focused,0.3662
02:16,face4,not_focused,0.3254
02:16,face5,focused,0.7484
02:35,face11,not_focused,0.2194
02:35,face10,not_focused,0.1522
02:35,face8,focused,0.8089
02:35,face9,focused,0.6413
02:35,face1,focused,0.5528
02:35,face2,not_focused,0.0646
02:35,face3,not_focused,0.3063
02:35,face7,not_focused,0.3912
02:35,face6,not_focused,0.3261
02:35,face4,not_focused,0.2257
02:35,face5,focused,0.6253
00:58,face11,focused,0.8119
00:58,face10,focused,0.5872
00:58,face8,focused,0.5417
00:58,face9,not_focused,0.009
00:58,face1,focused,0.6453
00:58,face2,not_focused,0.0285
00:58,face3,not_focused,0.281
00:58,face7,not_focused,0.0858
00:58,face6,focused,0.7011
00:58,face4,not_focused,0.1945
00:58,face5,focused,0.5911
01:56,face8,not_focused,0.3802
01:56,face9,focused,0.8829
01:56,face1,not_focused,0.3514
01:56,face2,not_focused,0.3468
01:56,face3,not_focused,0.0137
01:56,face7,not_focused,0.0522
01:56,face6,focused,0.7066
01:56,face4,not_focused,0.1484
01:56,face5,focused,0.7067
01:17,face10,not_focused,0.0846
01:17,face8,focused,0.5696
01:17,face9,focused,0.7753
01:17,face1,focused,0.7938
01:17,face2,focused,0.5514
01:17,face3,focused,0.7482
01:17,face7,not_focused,0.2427
01:17,face6,focused,0.6785
01:17,face4,not_focused,0.2602
01:17,face5,not_focused,0.3397
00:19,face11,not_focused,0.0802
00:19,face10,not_focused,0.4785
00:19,face12,not_focused,0.3856
00:19,face8,focused,0.8556
00:19,face9,focused,0.8192
00:19,face1,not_focused,0.1357
00:19,face2,not_focused,0.4588
00:19,face3,not_focused,0.1766
00:19,face7,focused,0.5254
00:19,face6,focused,0.7299
00:19,face4,focused,0.6549
00:19,face5,focused,0.5888
