Frame Number,Face Number,Prediction,Score
00:00,face11,focused,0.6113
00:00,face10,focused,0.701
00:00,face12,focused,0.7776
00:00,face8,not_focused,0.329
00:00,face9,not_focused,0.4033
00:00,face1,focused,0.7017
00:00,face2,not_focused,0.2258
00:00,face3,not_focused,0.4583
00:00,face7,not_focused,0.0619
00:00,face6,not_focused,0.2134
00:00,face4,not_focused,0.2173
00:00,face5,not_focused,0.2765
00:38,face11,focused,0.8238
00:38,face10,not_focused,0.498
00:38,face8,not_focused,0.2445
00:38,face9,focused,0.6923
00:38,face1,not_focused,0.4642
00:38,face2,not_focused,0.0567
00:38,face3,focused,0.7622
00:38,face7,not_focused,0.4922
00:38,face6,not_focused,0.3584
00:38,face4,focused,0.511
00:38,face5,not_focused,0.0691
00:58,face11,focused,0.8119
00:58,face10,focused,0.5872
00:58,face8,focused,0.5417
00:58,face9,not_focused,0.009
00:58,face1,focused,0.6453
00:58,face2,not_focused,0.0285
00:58,face3,not_focused,0.281
00:58,face7,not_focused,0.0858
00:58,face6,focused,0.7011
00:58,face4,not_focused,0.1945
00:58,face5,focused,0.5911
00:19,face11,not_focused,0.0802
00:19,face10,not_focused,0.4785
00:19,face12,not_focused,0.3856
00:19,face8,focused,0.8556
00:19,face9,focused,0.8192
00:19,face1,not_focused,0.1357
00:19,face2,not_focused,0.4588
00:19,face3,not_focused,0.1766
00:19,face7,focused,0.5254
00:19,face6,focused,0.7299
00:19,face4,focused,0.6549
00:19,face5,focused,0.5888
