Frame Number,Face Number,Prediction,Score
00:00,face11,not_focused,0.4595
00:00,face10,focused,0.8076
00:00,face12,focused,0.5884
00:00,face8,not_focused,0.3897
00:00,face9,focused,0.5286
00:00,face1,focused,0.7877
00:00,face2,not_focused,0.2664
00:00,face3,focused,0.5421
00:00,face7,focused,0.7355
00:00,face6,not_focused,0.4554
00:00,face4,not_focused,0.4771
00:00,face5,focused,0.5676
00:08,face8,focused,0.6868
00:08,face9,focused,0.6561
00:08,face1,focused,0.5762
00:08,face2,focused,0.6024
00:08,face3,focused,0.6604
00:08,face7,not_focused,0.4427
00:08,face6,focused,0.67
00:08,face4,focused,0.5199
00:08,face5,focused,0.8337
00:30,face11,focused,0.712
00:30,face10,focused,0.6329
00:30,face8,focused,0.6611
00:30,face9,focused,0.5146
00:30,face1,focused,0.6018
00:30,face2,focused,0.6438
00:30,face3,focused,0.5815
00:30,face7,focused,0.5996
00:30,face6,focused,0.5079
00:30,face4,focused,0.6342
00:30,face5,focused,0.8554
00:06,face10,focused,0.6663
00:06,face8,focused,0.5701
00:06,face9,not_focused,0.4792
00:06,face1,not_focused,0.4675
00:06,face2,focused,0.6817
00:06,face3,focused,0.5245
00:06,face7,focused,0.613
00:06,face6,focused,0.5591
00:06,face4,focused,0.686
00:06,face5,focused,0.574
00:23,face10,focused,0.791
00:23,face8,focused,0.7151
00:23,face9,focused,0.5951
00:23,face1,focused,0.6098
00:23,face2,focused,0.6323
00:23,face3,not_focused,0.4561
00:23,face7,focused,0.6566
00:23,face6,focused,0.7221
00:23,face4,focused,0.5287
00:23,face5,focused,0.644
00:13,face11,focused,0.7074
00:13,face10,focused,0.6781
00:13,face8,focused,0.6345
00:13,face9,focused,0.5271
00:13,face1,focused,0.6498
00:13,face2,focused,0.6123
00:13,face3,focused,0.7576
00:13,face7,focused,0.5826
00:13,face6,focused,0.5761
00:13,face4,focused,0.6124
00:13,face5,not_focused,0.3793
00:03,face11,focused,0.5807
00:03,face10,focused,0.6465
00:03,face8,focused,0.5599
00:03,face9,focused,0.5223
00:03,face1,not_focused,0.4586
00:03,face2,focused,0.8561
00:03,face3,not_focused,0.3411
00:03,face7,not_focused,0.2898
00:03,face6,focused,0.5423
00:03,face4,not_focused,0.44
00:03,face5,not_focused,0.484
00:20,face11,focused,0.6584
00:20,face10,focused,0.6958
00:20,face8,focused,0.5758
00:20,face9,focused,0.6253
00:20,face1,focused,0.6824
00:20,face2,focused,0.6066
00:20,face3,focused,0.7226
00:20,face7,focused,0.5736
00:20,face6,not_focused,0.4658
00:20,face4,focused,0.5213
00:20,face5,focused,0.5051
00:16,face11,focused,0.5563
00:16,face10,focused,0.6404
00:16,face8,focused,0.6676
00:16,face9,not_focused,0.4295
00:16,face1,focused,0.6597
00:16,face2,focused,0.5668
00:16,face3,focused,0.6445
00:16,face7,focused,0.6978
00:16,face6,focused,0.6715
00:16,face4,focused,0.7902
00:16,face5,focused,0.7097
00:10,face11,not_focused,0.3326
00:10,face10,not_focused,0.445
00:10,face8,focused,0.6399
00:10,face9,focused,0.6041
00:10,face1,focused,0.7153
00:10,face2,focused,0.5504
00:10,face3,focused,0.6381
00:10,face7,focused,0.7672
00:10,face6,focused,0.5164
00:10,face4,focused,0.7972
00:10,face5,focused,0.8122
00:17,face11,focused,0.6803
00:17,face10,not_focused,0.3818
00:17,face12,focused,0.631
00:17,face8,not_focused,0.4622
00:17,face9,focused,0.5418
00:17,face1,focused,0.7189
00:17,face2,focused,0.6403
00:17,face3,focused,0.6198
00:17,face7,focused,0.716
00:17,face6,focused,0.709
00:17,face4,focused,0.5737
00:17,face5,focused,0.7926
00:26,face10,focused,0.7529
00:26,face8,focused,0.6019
00:26,face9,not_focused,0.4837
00:26,face1,focused,0.5515
00:26,face2,focused,0.6316
00:26,face3,not_focused,0.4084
00:26,face7,focused,0.5278
00:26,face6,focused,0.5592
00:26,face4,focused,0.7665
00:26,face5,focused,0.6027
