Frame Number,Face Number,Prediction,Score
01:37,face11,not_focused,0.2683
01:37,face10,not_focused,0.498
01:37,face8,focused,0.7996
01:37,face9,not_focused,0.3104
01:37,face1,not_focused,0.1661
01:37,face2,not_focused,0.018
01:37,face3,focused,0.6637
01:37,face7,not_focused,0.4517
01:37,face6,not_focused,0.1262
01:37,face4,focused,0.5796
01:37,face5,focused,0.68
02:16,face10,not_focused,0.1814
02:16,face8,not_focused,0.4058
02:16,face9,focused,0.7028
02:16,face1,not_focused,0.0936
02:16,face2,not_focused,0.2697
02:16,face3,focused,0.6605
02:16,face7,not_focused,0.2748
02:16,face6,not_focused,0.3662
02:16,face4,not_focused,0.3254
02:16,face5,focused,0.7484
01:56,face8,not_focused,0.3802
01:56,face9,focused,0.8829
01:56,face1,not_focused,0.3514
01:56,face2,not_focused,0.3468
01:56,face3,not_focused,0.0137
01:56,face7,not_focused,0.0522
01:56,face6,focused,0.7066
01:56,face4,not_focused,0.1484
01:56,face5,focused,0.7067
