Frame Number,Face Number,Prediction,Score
00:00,face11,focused,0.5859
00:00,face10,not_focused,0.4475
00:00,face12,not_focused,0.3113
00:00,face8,focused,0.5206
00:00,face9,not_focused,0.3451
00:00,face1,not_focused,0.2524
00:00,face2,not_focused,0.4562
00:00,face3,not_focused,0.4455
00:00,face7,not_focused,0.4505
00:00,face6,focused,0.5795
00:00,face4,focused,0.705
00:00,face5,focused,0.5253
00:10,face11,focused,0.6583
00:10,face10,not_focused,0.3093
00:10,face12,not_focused,0.2885
00:10,face8,not_focused,0.4344
00:10,face9,not_focused,0.4047
00:10,face1,focused,0.7273
00:10,face2,not_focused,0.3184
00:10,face3,focused,0.6181
00:10,face7,not_focused,0.2832
00:10,face6,focused,0.5651
00:10,face4,not_focused,0.3482
00:10,face5,not_focused,0.4896
